ITEM_NUMBER,DESCRIPTION
21369,SOUR PUNCH BLUE RASP 24CT
1071005,SOUR PUNCH RAINBOW 24CT
89811,SOUR PUNCH STRAW 12/24CT
1151,STARBST ORIG 36CT/2.07-OZ
356172,STARBURST FAVEREDS 24 CT
616167,SWEDISH FISH 24CT/2 OZ
461,TOBLERONE CHOC 6/3.52Z
1471752,HARIBO 12CT/5OZ PEG BAG
1951293,HARIBO SOUR GOLDBEARS
1998073,JARRITOS GUMMIES 4 OZ
1793866,NERDS GUMMY CLUSTERS
1845030,NERDS GUMMY CLUSTERS
18633,RED VINES    15-4Z BAG
1854466,SNAK CLUB TAJIN RINGS20CT
2023819,TROLLI PEACHIE-O'S
1167985,TROLLI SOUR BRITES CRWLRS
921154,ALT ARCTIC WNTGRN 8/1.2OZ
36119,ALTOID CINNAMON 12/1.76OZ
40010,ALTOID PEPPRMINT 12/1.76Z
184650,ALTOID SPEARMINT 12/1.76Z
907210,ALTOID WINTERGRN 12/1.76Z
511998,ICE BRKR COOL MINT 8/1.5Z
643072,ICE BRKR DUOS STRW 8/1.3Z
991636,ICE BRKR FRUIT SOURS MINT
1835611,ICE BRKR SPEARMINT 8/1.5Z
4202,ICE BRKR WNTRGRN 8/1.5Z
1770610,LFSVERS PEP-O-MINT 53 OZ
1703090,LFSVERS WINT-O-GREEN 53OZ
2997,LIFESAVERS 5 FLVR 20CT
325821,MENTOS MINT 20/15CT
285673,MENTOS MIXED FRUIT 15CT
1686152,MYNTZ! WINTERMINT
514462,TIC TAC FRESHMINT 12 CT
574263,BIG LEAGUE CHEW ORIG 12CT
5579,DOUBLEMINT GUM 40/5 STICK
316237,DOUBLEMNT SLMPK 10/15P
1959865,DUBBLE BUBBLE 380CT
130269,DUBBLE BUBBLE 850CT BOX
438791,DUBBLE BUBBLE TUB 340 PC
4174,HUBBA BUBBA MAX 18 / 5PC
1945674,HUBBA BUBBA VTY 12/2OZ
1101599,HUBBA BUBBA WTR/STRW
5580,JUICY FRUIT GUM 40/5 STK
5577,SPEARMINT GUM 40/5 STK
2008060,5 COBALT PRMT MP 6CT/35PC
2007868,5 RAIN SPRMNT MP 6CT/35PC
776672,DNTN FIRE CINN 12CT/16PC
776658,DNTN ICE ARC CHIL 12/16PC
776654,DNTN ICE PPMNT 12CT/16PC
1746847,EXTRA VTY SHOPPABLE PLT
1652640,ICE BRKR CUBE GRAPE 4/40P
712096,ICE BRKR CUBE PPMNT 4/40P
708521,ICE BRKR CUBE RSPBR 4/40P
708518,ICE BRKR CUBE SPMNT 4/40P
1798672,ICE BRKR WNTGRN 4/40P
391503,MENTOS FRESH MINT 12/10CT
1896033,MENTOS PF 4CT/50PC
1901330,MENTOS PF 4CT/50PC
